,genusspecies,genus,familia,ordo,classis,phylum,regio,16S,True Result,ERROR
691,Rhabdovirus carpio,Sprivivirus,Rhabdoviridae,Mononegavirales,Monjiviricetes,Negarnaviricota,,0,0,
261,Nippoleucon hinumensis,,,,,,,0,0,
592,Psammonobiotus dziwnowi,,,,,,,0,0,
591,Psammonobiotus communis,,,,,,,0,0,
235,Bemlos virgus,,,,,,,0,0,
229,Laticorophium baconi,,,,,,,0,0,
588,Trochammina hadai,Trochammina,Trochamminidae,Textulariida,,Foraminifera,,0,0,
190,Poricella robusta,,,,,,,0,0,
593,Psammonobiotus linearis,,,,,,,0,0,
176,Victorella pavida,,,,,,,0,0,
171,Acentropus niveus,,,,,,,0,0,
594,Trypanosoma,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea,Euglenozoa,,0,0,
689,Ranavirus sp.,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes,Nucleocytoviricota,,0,0,
684,Penaeus monodon-type Baculovirus,,,,,,,0,0,
687,Novirhabdovirus sp.,,,,,,,0,0,
685,WSBV,,,,,,,0,0,
336,Gemma gemma,Gemma,Veneridae,Venerida,Bivalvia,Mollusca,,1,1,
427,Carex acutiformis,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
67,Platichthys flesus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,,1,1,
137,Stephanodiscus binderanus,Stephanodiscus,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,1,1,
287,Hemimysis anomala,Hemimysis,Mysidae,Mysida,Malacostraca,Arthropoda,,1,1,
297,Glugea hertwigi,Glugea,Glugeidae,,,Microsporidia,,1,1,
301,Alitta succinea,Alitta,Nereididae,Phyllodocida,Polychaeta,Annelida,,1,1,
302,Polydora ciliata,Polydora,Spionidae,Spionida,Polychaeta,Annelida,,1,1,
306,Euchone,Euchone,Sabellidae,Sabellida,Polychaeta,Annelida,,1,1 genus,
310,Sabellastarte spectabilis,Sabellastarte,Sabellidae,Sabellida,Polychaeta,Annelida,,1,1,
87,Dorosoma petenense,Dorosoma,Clupeidae,Clupeiformes,Actinopteri,Chordata,,1,1,
396,Agrostis stolonifera,Agrostis,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
312,Perna perna,Perna,Mytilidae,Mytiloida,Bivalvia,Mollusca,,1,1,
85,Rangia cuneata,Rangia,Mactridae,Venerida,Bivalvia,Mollusca,,1,1,
319,Acar plicata,Acar,Arcidae,Arcoida,Bivalvia,Mollusca,,1,1,
321,Tritonia plebeia,Tritonia,Tritoniidae,Nudibranchia,Gastropoda,Mollusca,,1,1,
362,Potamothrix bavaricus,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,,1,1,
358,Boonea,Boonea,Pyramidellidae,,Gastropoda,Mollusca,,1,1 genus,
350,Sphaerium corneum,Sphaerium,Sphaeriidae,Venerida,Bivalvia,Mollusca,,1,1,
315,Geukensia demissa,Geukensia,Mytilidae,Mytiloida,Bivalvia,Mollusca,,1,1,
244,Balanus,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,,1,1 genus,
269,Tachidius triangularis,Tachidius,Tachidiidae,Harpacticoida,Hexanauplia,Arthropoda,,1,1,
146,Potamothrix bedoti,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,,1,1,
147,Potamothrix moldaviensis,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,,1,1,
149,Ripistes parasita,Ripistes,Naididae,Haplotaxida,Clitellata,Annelida,,1,1,
152,Boccardiella ligerica,Boccardiella,Spionidae,Spionida,Polychaeta,Annelida,,1,1,
155,Capitella capitata,Capitella,Capitellidae,,Polychaeta,Annelida,,1,1,
162,Myxicola,Myxicola,Sabellidae,Sabellida,Polychaeta,Annelida,,1,1 genus,
165,Nephtys longosetosa,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,,1,1,
168,Scolelepis squamata,Scolelepis,Spionidae,Spionida,Polychaeta,Annelida,,1,1,
178,Schizoporella,Schizoporella,Schizoporellidae,Cheilostomatida,Gymnolaemata,Bryozoa,,1,1 genus,
182,Alcyonidium gelatinosum,Alcyonidium,Alcyonidiidae,Ctenostomatida,Gymnolaemata,Bryozoa,,1,1,
183,Barentsia benedeni,Barentsia,Barentsiidae,,,Entoprocta,,1,1,
121,Cyclotella atomus,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,1,1,
189,Membranipora,Membranipora,Membraniporidae,Cheilostomatida,Gymnolaemata,Bryozoa,,1,1 genus,
202,Maeotias marginata,Maeotias,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,,1,1,
208,Dynamena crisioides,Dynamena,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria,,1,1,
213,Obelia longissima,Obelia,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,,1,1,
215,Plumularia strictocarpa,Plumularia,Plumulariidae,Leptothecata,Hydrozoa,Cnidaria,,1,1,
217,Sertularella diaphana,Sertularella,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria,,1,1,
220,Turritopsis nutricula,Turritopsis,Oceaniidae,Anthoathecata,Hydrozoa,Cnidaria,,1,1,
107,Antithamnionella spirographidis,Antithamnionella,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,,1,1,
223,Maeotias,Maeotias,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,,1,1 genus,
431,Carex flacca,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
250,Eubosmina coregoni,Eubosmina,Bosminidae,Diplostraca,Branchiopoda,Arthropoda,,1,1,
274,Scylla serrata,Scylla,Portunidae,Decapoda,Malacostraca,Arthropoda,,1,1,
64,Neogobius melanostomus,Neogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,,1,1,
421,Butomus umbellatus,Butomus,Butomaceae,Alismatales,Magnoliopsida,Streptophyta,,1,1,
442,Cynosurus cristatus,Cynosurus,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
572,Ulmus americana,Ulmus,Ulmaceae,Rosales,Magnoliopsida,Streptophyta,,1,1,
36,Pistia stratiotes,Pistia,Araceae,Alismatales,Magnoliopsida,Streptophyta,,1,1,
598,Gelliodes,Gelliodes,Niphatidae,Haplosclerida,Demospongiae,Porifera,,1,1 genus,
603,Cliona celata,Cliona,Clionaidae,Clionaida,Demospongiae,Porifera,,1,1,
608,Didemnum,Didemnum,Didemnidae,Aplousobranchia,Ascidiacea,Chordata,,1,1 genus,
440,Conium maculatum,Conium,Apiaceae,Apiales,Magnoliopsida,Streptophyta,,1,1,
616,Corella inflata,Corella,Corellidae,Phlebobranchia,Ascidiacea,Chordata,,1,1,
619,Styela canopus,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,1,1,
621,Sarotherodon melanotheron,Sarotherodon,Cichlidae,Cichliformes,Actinopteri,Chordata,,1,1,
628,Gonodactylaceus falcatus,Gonodactylaceus,Gonodactylidae,Stomatopoda,Malacostraca,Arthropoda,,1,1,
630,Zebrasoma velifer,Zebrasoma,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,,1,1,
570,Typha angustifolia,Typha,Typhaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
21,Crepidula fornicata,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,,1,1,
636,Apeltes quadracus,Apeltes,Gasterosteidae,Perciformes,Actinopteri,Chordata,,1,1,
642,Cittarium pica,Cittarium,Tegulidae,Trochida,Gastropoda,Mollusca,,1,1,
646,Esox niger,Esox,Esocidae,Esociformes,Actinopteri,Chordata,,1,1,
649,Heros severus,Heros,Cichlidae,Cichliformes,Actinopteri,Chordata,,1,1,
653,Lepomis humilis,Lepomis,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,,1,1,
672,Oxydoras niger,Oxydoras,Doradidae,Siluriformes,Actinopteri,Chordata,,1,1,
678,Poecilia latipinna,Poecilia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,,1,1,
10,Cordylophora caspia,Cordylophora,Oceaniidae,Anthoathecata,Hydrozoa,Cnidaria,,1,1,
681,Pygocentrus nattereri,Pygocentrus,Serrasalmidae,Characiformes,Actinopteri,Chordata,,1,1,
7,Marenzelleria viridis,Marenzelleria,Spionidae,Spionida,Polychaeta,Annelida,,1,1,
3,Sargassum muticum,Sargassum,Sargassaceae,Fucales,Phaeophyceae,,,1,1,
635,Anchoa lyolepis,Anchoa,Engraulidae,Clupeiformes,Actinopteri,Chordata,,1,1,
559,Sorghum halepense,Sorghum,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
610,Ascidia sydneiensis,Ascidia,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata,,1,1,
145,Gianius aquaedulcis,Gianius,Naididae,Haplotaxida,Clitellata,Annelida,,1,1,
517,Poa annua,Poa,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
510,Phalaris arundinacea,Phalaris,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
519,Poa pratensis,Poa,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
480,Lotus corniculatus,Lotus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,,1,1,
475,Lepidium densiflorum,Lepidium,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,,1,1,
467,Imperata cylindrica,Imperata,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
520,Poa trivialis,Poa,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
44,Ciona savignyi,Ciona,Cionidae,Phlebobranchia,Ascidiacea,Chordata,,1,1,
534,Ranunculus flammula,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,,1,1,
535,Ranunculus repens,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,,1,1,
451,Festuca rubra,Festuca,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
536,Rhamnus cathartica,Rhamnus,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,,1,1,
47,Cichlasoma,Cichlasoma,Cichlidae,Cichliformes,Actinopteri,Chordata,,1,1 genus,
537,Rhizophora mangle,Rhizophora,Rhizophoraceae,Malpighiales,Magnoliopsida,Streptophyta,,1,1,
554,Solanum dulcamara,Solanum,Solanaceae,Solanales,Magnoliopsida,Streptophyta,,1,1,
448,Ellisia nyctelea,Ellisia,Hydrophyllaceae,Boraginales,Magnoliopsida,Streptophyta,,1,1,
465,Impatiens capensis,Impatiens,Balsaminaceae,Ericales,Magnoliopsida,Streptophyta,,1,1,
70,Salvelinus fontinalis,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,10,10,
112,Polysiphonia,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,,10,10 genus,
343,Crassostrea ariakensis,Crassostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,,10,10,
298,Heterosporis,Heterosporis,Pleistophoridae,,,Microsporidia,,11,11 genus,
627,Tridentiger trigonocephalus,Tridentiger,Gobiidae,Gobiiformes,Actinopteri,Chordata,,11,11,
602,Suberites,Suberites,Suberitidae,Suberitida,Demospongiae,Porifera,,11,11 genus,
106,Gymnodinium catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,,,11,11,
652,Ictalurus punctatus,Ictalurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,,11,11,
666,Oncorhynchus nerka,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,11,11,
225,Aurelia aurita,Aurelia,Ulmaridae,Semaeostomeae,Scyphozoa,Cnidaria,,11,11,
90,Lepomis macrochirus,Lepomis,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,,12,12,
2,Prorocentrum minimum,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,,,12,12,
207,Clytia hemisphaerica,Clytia,Clytiidae,Leptothecata,Hydrozoa,Cnidaria,,12,12,
690,Renibacterium salmoninarum,Renibacterium,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,,12,12,
623,Acanthogobius flavimanus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,,12,12,
339,Perna viridis,Perna,Mytilidae,Mytiloida,Bivalvia,Mollusca,,12,12,
157,Exogone,Exogone,Syllidae,Phyllodocida,Polychaeta,Annelida,,13,13 genus,
425,Cannabis sativa,Cannabis,Cannabaceae,Rosales,Magnoliopsida,Streptophyta,,13,13,
399,Alnus glutinosa,Alnus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,,13,13,
688,Piscirickettsia salmonis,Piscirickettsia,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,,135,135,
50,Salmo salar,Salmo,Salmonidae,Salmoniformes,Actinopteri,Chordata,,14,14,
119,Chaetoceros muellerii,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Coscinodiscophyceae,Bacillariophyta,,14,14,
24,Crassostrea gigas,Crassostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,,14,14,
135,Skeletonema subsalsum,Skeletonema,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,14,14,
331,Rattus norvegicus,Rattus,Muridae,Rodentia,Mammalia,Chordata,,15,15,
211,Laomedea,Laomedea,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,,15,15 genus,
113,,,,,,,,15,0,ERROR
378,Cuthona,Cuthona,Cuthonidae,Nudibranchia,Gastropoda,Mollusca,,16,16 genus,
226,Craspedacusta sowerbii,Craspedacusta,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,,16,16,
345,Ostrea,Ostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,,16,16 genus,
370,Nassarius,Nassarius,Nassariidae,Neogastropoda,Gastropoda,Mollusca,,161,161 genus,
326,Pinctada margaritifera,Pinctada,Pteriidae,Pterioida,Bivalvia,Mollusca,,17,17,
212,Obelia dichotoma,Obelia,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,,17,17,
607,Milnesium tardigradum,Milnesium,Milnesiidae,Apochela,Eutardigrada,Tardigrada,,17,17,
206,Campanulariidae,,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,,173,173 family,
125,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aphanizomenonaceae,Nostocales,,Cyanobacteria,,180,180,
460,Helianthus annuus,Helianthus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,,19,19,
199,Diadumene,Diadumene,Diadumenidae,Actiniaria,Anthozoa,Cnidaria,,19,19 genus,
659,Misgurnus anguillicaudatus,Misgurnus,Cobitidae,Cypriniformes,Actinopteri,Chordata,,19,19,
660,Morone americana,Morone,Moronidae,,Actinopteri,Chordata,,2,2,
390,Zizania latifolia,Zizania,Poaceae,Poales,Magnoliopsida,Streptophyta,,2,2,
61,Gymnocephalus cernua,Gymnocephalus,Percidae,Perciformes,Actinopteri,Chordata,,2,2,
668,Oreochromis macrochir,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,,2,2,
201,Garveia,Garveia,Bougainvilliidae,Anthoathecata,Hydrozoa,Cnidaria,,2,2 genus,
71,Scardinius erythrophthalmus,Scardinius,Leuciscidae,Cypriniformes,Actinopteri,Chordata,,2,2,
101,Kappaphycus alvarezii,Kappaphycus,Solieriaceae,Gigartinales,Florideophyceae,Rhodophyta,,2,2,
647,Fundulus diaphanus,Fundulus,Fundulidae,Cyprinodontiformes,Actinopteri,Chordata,,2,2,
348,Pisidium,Pisidium,Sphaeriidae,Venerida,Bivalvia,Mollusca,,2,2 genus,
416,Batis maritima,Batis,Bataceae,Brassicales,Magnoliopsida,Streptophyta,,2,2,
461,Hordeum jubatum,Hordeum,Poaceae,Poales,Magnoliopsida,Streptophyta,,2,2,
645,Esox lucius,Esox,Esocidae,Esociformes,Actinopteri,Chordata,,2,2,
670,Orthodon microlepidotus,Orthodon,Leuciscidae,Cypriniformes,Actinopteri,Chordata,,2,2,
58,Gambusia affinis,Gambusia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,,2,2,
530,Prunella vulgaris,Prunella,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,,2,2,
380,Dendronotus frondosus,Dendronotus,Dendronotidae,Nudibranchia,Gastropoda,Mollusca,,2,2,
444,Dioscorea oppositifolia,Dioscorea,Dioscoreaceae,Dioscoreales,Magnoliopsida,Streptophyta,,2,2,
288,Nebalia,Nebalia,Nebaliidae,Leptostraca,Malacostraca,Arthropoda,,2,2 genus,
294,Macrobrachium rosenbergii,Macrobrachium,Palaemonidae,Decapoda,Malacostraca,Arthropoda,,2,2,
606,Macrobiotus hufelandi,Macrobiotus,Macrobiotidae,Parachela,Eutardigrada,Tardigrada,,2,2,
605,Prosuberites,Prosuberites,Suberitidae,Suberitida,Demospongiae,Porifera,,2,2 genus,
398,Allium schoenoprasum,Allium,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,,2,2,
426,Capsella bursa-pastoris,Capsella,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,,2,2,
105,Asparagopsis taxiformis,Asparagopsis,Bonnemaisoniaceae,Bonnemaisoniales,Florideophyceae,Rhodophyta,,2,2,
222,Drymonema dalmatinum,Drymonema,Drymonematidae,Semaeostomeae,Scyphozoa,Cnidaria,,2,2,
571,Typha latifolia,Typha,Typhaceae,Poales,Magnoliopsida,Streptophyta,,2,2,
395,Agrostis gigantea,Agrostis,Poaceae,Poales,Magnoliopsida,Streptophyta,,2,2,
351,Tapes,Tapes,Veneridae,Venerida,Bivalvia,Mollusca,,2,2 genus,
618,Microcosmus squamiger,Microcosmus,Pyuridae,Stolidobranchia,Ascidiacea,Chordata,,2,2,
216,Sarsia tubulosa,Sarsia,Corynidae,Anthoathecata,Hydrozoa,Cnidaria,,2,2,
435,Chenopodium album,Chenopodium,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,,2,2,
651,Hypomesus nipponensis,Hypomesus,Osmeridae,Osmeriformes,Actinopteri,Chordata,,2,2,
673,Parachromis managuensis,Parachromis,Cichlidae,Cichliformes,Actinopteri,Chordata,,2,2,
111,Macrocystis integrifolia,Macrocystis,Laminariaceae,Laminariales,Phaeophyceae,,,2,2,
624,Cephalopholis argus,Cephalopholis,Serranidae,Perciformes,Actinopteri,Chordata,,2,2,
567,Trapa natans,Trapa,Lythraceae,Myrtales,Magnoliopsida,Streptophyta,,2,2,
625,Lutjanus kasmira,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,Chordata,,2,2,
252,Mytilicola orientalis,Mytilicola,Mytilicolidae,Cyclopoida,Hexanauplia,Arthropoda,,2,2,
54,Anguilla rostrata,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,,2,2,
31,Myriophyllum aquaticum,Myriophyllum,Haloragaceae,Saxifragales,Magnoliopsida,Streptophyta,,2,2,
366,Crepidula,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,,2,2 genus,
52,Ameiurus melas,Ameiurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,,2,2,
264,Oithona davisae,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,,2,2,
131,Hymenomonas,Hymenomonas,Hymenomonadaceae,Coccolithales,Haptophyta,Haptista,,2,2 genus,
525,Populus deltoides,Populus,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,,2,2,
609,Polyandrocarpa zorritensis,Polyandrocarpa,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,2,2,
675,Phenacobius mirabilis,Phenacobius,Leuciscidae,Cypriniformes,Actinopteri,Chordata,,2,2,
527,Potamogeton crispus,Potamogeton,Potamogetonaceae,Alismatales,Magnoliopsida,Streptophyta,,2,2,
639,Balistes polylepis,Balistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,,2,2,
51,Pterois volitans,Pterois,Scorpaenidae,Perciformes,Actinopteri,Chordata,,2,2,
638,Astronotus ocellatus,Astronotus,Cichlidae,Cichliformes,Actinopteri,Chordata,,2,2,
136,Sphacelaria,Sphacelaria,Sphacelariaceae,Sphacelariales,Phaeophyceae,,,2,2 genus,
144,Branchiura sowerbyi,Branchiura,Naididae,Haplotaxida,Clitellata,Annelida,,2,2,
361,Myosotella myosotis,Myosotella,Ellobiidae,Ellobiida,Gastropoda,Mollusca,,2,2,
270,Hemigrapsus sanguineus,Hemigrapsus,Varunidae,Decapoda,Malacostraca,Arthropoda,,2,2,
150,Heteromastus filiformis,Heteromastus,Capitellidae,,Polychaeta,Annelida,,2,2,
513,Plantago lanceolata,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,,2,2,
403,Alternanthera philoxeroides,Alternanthera,Amaranthaceae,Caryophyllales,Magnoliopsida,Streptophyta,,2,2,
377,Viviparus,Viviparus,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,,2,2 genus,
486,Lythrum salicaria,Lythrum,Lythraceae,Myrtales,Magnoliopsida,Streptophyta,,2,2,
328,Adula,Adula,Mytilidae,Mytiloida,Bivalvia,Mollusca,,2,2 genus,
512,Picea pungens,Picea,Pinaceae,Pinales,Pinopsida,Streptophyta,,2,2,
478,Ligustrum vulgare,Ligustrum,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,,2,2,
677,Plecoglossus altivelis,Plecoglossus,Plecoglossidae,Osmeriformes,Actinopteri,Chordata,,2,2,
492,Mentha spicata,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,,2,2,
548,Salix purpurea,Salix,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,,2,2,
504,Nasturtium officinale,Nasturtium,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,,2,2,
22,Mytilopsis leucophaeata,Mytilopsis,Dreissenidae,Myida,Bivalvia,Mollusca,,2,2,
173,Ammothea hilgendorfi,Ammothea,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,,2,2,
75,Alexandrium ostenfeldii,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,,,20,20,
141,Thalassiosira pseudonana,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,21,21,
126,Diatoma,Diatoma,Fragilariaceae,Fragilariales,Fragilariophyceae,Bacillariophyta,,21,21 genus,
66,Oncorhynchus mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,22,22,
166,,,,,,,,230,0,ERROR
138,Stephanodiscus,Stephanodiscus,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,25,25 genus,
114,Aureococcus anophagefferens,Aureococcus,,Pelagomonadales,Pelagophyceae,,,25,25,
686,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,,254,254,
583,,,,,,,,27,0,ERROR
550,Salix,Salix,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,,27,27 genus,
73,Danio rerio,Danio,Danionidae,Cypriniformes,Actinopteri,Chordata,,28,28,
127,Didymosphenia geminata,Didymosphenia,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,,29,29,
384,,,,,,,,3,0,ERROR
632,Alosa aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopteri,Chordata,,3,3,
354,Littorina littorea,Littorina,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,,3,3,
98,Gracilaria salicornia,Gracilaria,Gracilariaceae,Gracilariales,Florideophyceae,Rhodophyta,,3,3,
260,Neoergasilus japonicus,Neoergasilus,Ergasilidae,Poecilostomatoida,Hexanauplia,Arthropoda,,3,3,
353,Venerupis,Venerupis,Veneridae,Venerida,Bivalvia,Mollusca,,3,3 genus,
374,Radix auricularia,Radix,Lymnaeidae,,Gastropoda,Mollusca,,3,3,
640,Cichla ocellaris,Cichla,Cichlidae,Cichliformes,Actinopteri,Chordata,,3,3,
661,Mylocheilus caurinus,Mylocheilus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,,3,3,
79,Botryllus schlosseri,Botryllus,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,3,3,
143,Paranais frici,Paranais,Naididae,Haplotaxida,Clitellata,Annelida,,3,3,
133,Pleurosira laevis,Pleurosira,Triceratiaceae,Triceratiales,Mediophyceae,Bacillariophyta,,3,3,
154,Amphicteis,Amphicteis,Ampharetidae,Terebellida,Polychaeta,Annelida,,3,3 genus,
156,Dodecaceria concharum,Dodecaceria,Cirratulidae,Terebellida,Polychaeta,Annelida,,3,3,
158,Harmothoe imbricata,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,,3,3,
323,Anomia,Anomia,Anomiidae,Pectinida,Bivalvia,Mollusca,,3,3 genus,
48,Morone saxatilis,Morone,Moronidae,,Actinopteri,Chordata,,3,3,
515,Plantago rugelii,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,,3,3,
