,genusspecies,genus,familia,ordo,classis,phylum,regio,16S,True Result,ERROR
304,Tubificoides pseudogaster,Tubificoides,Naididae,Haplotaxida,Clitellata,Annelida,,3,3,
174,Cygnus olor,Cygnus,Anatidae,Anseriformes,Aves,Chordata,,3,3,
420,Brachiaria,Brachiaria,Poaceae,Poales,Magnoliopsida,Streptophyta,,3,3 genus,
11,Ectopleura crocea,Ectopleura,Tubulariidae,Anthoathecata,Hydrozoa,Cnidaria,,3,3,
490,Medicago lupulina,Medicago,Fabaceae,Fabales,Magnoliopsida,Streptophyta,,3,3,
94,Avrainvillea,Avrainvillea,Dichotomosiphonaceae,Bryopsidales,Ulvophyceae,Chlorophyta,,3,3 genus,
219,Tubularia,Tubularia,Tubulariidae,Anthoathecata,Hydrozoa,Cnidaria,,3,3 genus,
42,Ascidiella aspersa,Ascidiella,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata,,3,3,
80,Botrylloides violaceus,Botrylloides,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,3,3,
474,Lactuca serriola,Lactuca,Asteraceae,Asterales,Magnoliopsida,Streptophyta,,3,3,
563,Spirodela polyrhiza,Spirodela,Araceae,Alismatales,Magnoliopsida,Streptophyta,,3,3,
93,Alepes djedaba,Alepes,Carangidae,Carangiformes,Actinopteri,Chordata,,3,3,
355,Littorina saxatilis,Littorina,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,,3,3,
468,Ipomoea hederacea,Ipomoea,Convolvulaceae,Solanales,Magnoliopsida,Streptophyta,,3,3,
29,Potamopyrgus antipodarum,Potamopyrgus,Tateidae,Littorinimorpha,Gastropoda,Mollusca,,30,30,
214,Obelia,Obelia,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,,33,33 genus,
74,Mylopharyngodon piceus,Mylopharyngodon,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,,34,34,
142,Bufo,Bufo,Bufonidae,Anura,Amphibia,Chordata,,38,38 genus,
25,Petricolaria pholadiformis,Petricolaria,Petricolidae,Venerida,Bivalvia,Mollusca,,4,4,
303,Pseudopolydora paucibranchiata,Pseudopolydora,Spionidae,Spionida,Polychaeta,Annelida,,4,4,
629,Lutjanus fulvus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,Chordata,,4,4,
23,Dreissena polymorpha,Dreissena,Dreissenidae,Myida,Bivalvia,Mollusca,,4,4,
83,Oreochromis mossambicus,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,,4,4,
626,Oreochromis aureus,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,,4,4,
329,Limnoperna fortunei,Limnoperna,Mytilidae,Mytiloida,Bivalvia,Mollusca,,4,4,
316,Mytilopsis sallei,Mytilopsis,Dreissenidae,Myida,Bivalvia,Mollusca,,4,4,
20,Homarus americanus,Homarus,Nephropidae,Decapoda,Malacostraca,Arthropoda,,4,4,
134,Skeletonema potamos,Skeletonema,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,4,4,
6,Teredo navalis,Teredo,Teredinidae,Myida,Bivalvia,Mollusca,,4,4,
161,Marphysa sanguinea,Marphysa,Eunicidae,Eunicida,Polychaeta,Annelida,,4,4,
497,Morus alba,Morus,Moraceae,Rosales,Magnoliopsida,Streptophyta,,4,4,
123,Cyclotella pseudostelligera,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,4,4,
674,Petromyzon marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Hyperoartia,Chordata,,4,4,
120,Chroodactylon,Chroodactylon,Porphyridiaceae,Porphyridiales,Bangiophyceae,Rhodophyta,,4,4 genus,
192,Tubulipora,Tubulipora,Tubuliporidae,Tubuliporida,Stenolaemata,Bryozoa,,4,4 genus,
200,Diadumene leucolena,Diadumene,Diadumenidae,Actiniaria,Anthozoa,Cnidaria,,4,4,
205,Pennaria disticha,Pennaria,Pennariidae,Anthoathecata,Hydrozoa,Cnidaria,,4,4,
210,Gonothyraea,Gonothyraea,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,,4,4 genus,
103,Ulva fasciata,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,,4,4,
65,Oncorhynchus gorbuscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,4,4,
392,Undaria pinnatifida,Undaria,Alariaceae,Laminariales,Phaeophyceae,,,4,4,
372,Physella acuta,Physella,Physidae,,Gastropoda,Mollusca,,4,4,
373,Pomacea canaliculata,Pomacea,Ampullariidae,Architaenioglossa,Gastropoda,Mollusca,,4,4,
99,Grateloupia filicina,Grateloupia,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta,,4,4,
383,Glossodoris,Glossodoris,Chromodorididae,Nudibranchia,Gastropoda,Mollusca,,4,4 genus,
412,Arundo donax,Arundo,Poaceae,Poales,Magnoliopsida,Streptophyta,,4,4,
417,Betula pendula,Betula,Betulaceae,Fagales,Magnoliopsida,Streptophyta,,4,4,
140,Thalassiosira,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,419,419 genus,
657,,,,,,,,42,0,ERROR
599,Mycale,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Porifera,,43,43 genus,
68,Salmo trutta,Salmo,Salmonidae,Salmoniformes,Actinopteri,Chordata,,44,44,
62,Hypophthalmichthys nobilis,Hypophthalmichthys,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,,45,45,
76,Alexandrium tamarense,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,,,47,47,
446,Echinochloa crus-galli,Echinochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,,5,5,
40,Styela clava,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,5,5,
59,Gambusia holbrooki,Gambusia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,,5,5,
356,Rapana venosa,Rapana,Muricidae,Neogastropoda,Gastropoda,Mollusca,,5,5,
381,Eubranchus,Eubranchus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,,5,5 genus,
317,Teredo,Teredo,Teredinidae,Myida,Bivalvia,Mollusca,,5,5 genus,
511,Phragmites australis,Phragmites,Poaceae,Poales,Magnoliopsida,Streptophyta,,5,5,
53,Ameiurus nebulosus,Ameiurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,,5,5,
78,Myriophyllum spicatum,Myriophyllum,Haloragaceae,Saxifragales,Magnoliopsida,Streptophyta,,5,5,
597,Cliona,Cliona,Clionaidae,Clionaida,Demospongiae,Porifera,,5,5 genus,
526,Portulaca oleracea,Portulaca,Portulacaceae,Caryophyllales,Magnoliopsida,Streptophyta,,5,5,
335,Mytilus galloprovincialis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,,5,5,
650,Hoplosternum littorale,Hoplosternum,Callichthyidae,Siluriformes,Actinopteri,Chordata,,5,5,
132,Nitellopsis obtusa,Nitellopsis,Characeae,Charales,Charophyceae,Streptophyta,,5,5,
224,Cassiopea andromeda,Cassiopea,Cassiopeidae,Rhizostomeae,Scyphozoa,Cnidaria,,5,5,
254,Argulus japonicus,Argulus,Argulidae,Arguloida,Ichthyostraca,Arthropoda,,5,5,
221,Phyllorhiza punctata,Phyllorhiza,Mastigiidae,Rhizostomeae,Scyphozoa,Cnidaria,,5,5,
122,Cyclotella cryptica,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,5,5,
633,Alosa pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopteri,Chordata,,5,5,
615,Botryllus,Botryllus,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,5,5 genus,
57,Cyprinus carpio,Cyprinus,Cyprinidae,Cypriniformes,Actinopteri,Chordata,,52,52,
313,Ruditapes philippinarum,Ruditapes,Veneridae,Venerida,Bivalvia,Mollusca,,6,6,
38,Ciona intestinalis,Ciona,Cionidae,Phlebobranchia,Ascidiacea,Chordata,,6,6,
337,Mercenaria mercenaria,Mercenaria,Veneridae,Venerida,Bivalvia,Mollusca,,6,6,
385,Anguillicola crassus,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea,Nematoda,,6,6,
643,Clarias batrachus,Clarias,Clariidae,Siluriformes,Actinopteri,Chordata,,6,6,
604,Haliclona,Haliclona,Chalinidae,Haplosclerida,Demospongiae,Porifera,,6,6 genus,
342,Crassostrea virginica,Crassostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,,6,6,
614,Botrylloides,Botrylloides,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,6,6 genus,
81,Mya arenaria,Mya,Myidae,Myida,Bivalvia,Mollusca,,6,6,
69,Salvelinus alpinus,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,6,6,
41,Molgula manhattensis,Molgula,Molgulidae,Stolidobranchia,Ascidiacea,Chordata,,6,6,
325,Ostrea edulis,Ostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,,6,6,
115,Aureoumbra lagunensis,Aureoumbra,,Pelagomonadales,Pelagophyceae,,,6,6,
671,Osteoglossum bicirrhosum,Osteoglossum,Osteoglossidae,Osteoglossiformes,Actinopteri,Chordata,,6,6,
496,Mollugo verticillata,Mollugo,Molluginaceae,Caryophyllales,Magnoliopsida,Streptophyta,,6,6,
49,Osmerus mordax,Osmerus,Osmeridae,Osmeriformes,Actinopteri,Chordata,,6,6,
72,Tinca tinca,Tinca,Tincidae,Cypriniformes,Actinopteri,Chordata,,6,6,
26,Corbicula fluminea,Corbicula,Corbiculidae,Venerida,Bivalvia,Mollusca,,6,6,
18,,,,,,,,67,0,ERROR
565,Tamarix,Tamarix,Tamaricaceae,Caryophyllales,Magnoliopsida,Streptophyta,,7,7 genus,
116,Bangia atropurpurea,Bangia,Bangiaceae,Bangiales,Bangiophyceae,Rhodophyta,,7,7,
169,Spiophanes,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,,7,7 genus,
683,Sander lucioperca,Sander,Percidae,Perciformes,Actinopteri,Chordata,,7,7,
634,Ameiurus catus,Ameiurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,,7,7,
422,Cabomba caroliniana,Cabomba,Cabombaceae,Nymphaeales,Magnoliopsida,Streptophyta,,7,7,
333,Lyrodus,Lyrodus,Teredinidae,Myida,Bivalvia,Mollusca,,7,7 genus,
77,Corbula,Corbula,Corbulidae,Myida,Bivalvia,Mollusca,,7,7 genus,
89,Monopterus albus,Monopterus,Synbranchidae,Synbranchiformes,Actinopteri,Chordata,,7,7,
88,Eriocheir sinensis,Eriocheir,Varunidae,Decapoda,Malacostraca,Arthropoda,,7,7,
55,Carassius auratus,Carassius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,,71,71,
60,Gasterosteus aculeatus,Gasterosteus,Gasterosteidae,Perciformes,Actinopteri,Chordata,,8,8,
667,Oncorhynchus tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,8,8,
589,,,,,,,,8,0,ERROR
209,Eudendrium,Eudendrium,Eudendriidae,Anthoathecata,Hydrozoa,Cnidaria,,8,8 genus,
197,Tubastraea coccinea,Tubastraea,Dendrophylliidae,Scleractinia,Anthozoa,Cnidaria,,8,8,
196,Diadumene lineata,Diadumene,Diadumenidae,Actiniaria,Anthozoa,Cnidaria,,8,8,
389,Sporobolus,Sporobolus,Poaceae,Poales,Magnoliopsida,Streptophyta,,8,8 genus,
305,Boccardia proboscidea,Boccardia,Spionidae,Spionida,Polychaeta,Annelida,,8,8,
124,Cyclotella,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,85,85 genus,
669,Oreochromis niloticus,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,,86,86,
664,Oncorhynchus kisutch,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,,9,9,
445,Dryopteris,Dryopteris,Dryopteridaceae,Polypodiales,Polypodiopsida,Streptophyta,,9,9 genus,
56,Ctenopharyngodon idella,Ctenopharyngodon,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,,9,9,
46,Alosa sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopteri,Chordata,,9,9,
612,Phallusia nigra,Phallusia,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata,,9,9,
19,Procambarus clarkii,Procambarus,Cambaridae,Decapoda,Malacostraca,Arthropoda,,9,9,
436,Chenopodium,Chenopodium,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,,9,9 genus,
43,Styela plicata,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,,9,9,
376,Valvata piscinalis,Valvata,Valvatidae,,Gastropoda,Mollusca,,class,class,
586,Scolex pleuronectis,Scolex,,Tetraphyllidea,Cestoda,Platyhelminthes,,class,class,
585,Neascus,Neascus,Diplostomidae,Diplostomida,Trematoda,Platyhelminthes,,class,class,
582,Dactylogyrus hemiamphibothrium,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea,Platyhelminthes,,class,class,
581,Dactylogyrus amphibothrium,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea,Platyhelminthes,,class,class,
584,Ichthyocotylurus pileatus,Ichthyocotylurus,Strigeidae,Diplostomida,Trematoda,Platyhelminthes,,class,class,
327,Thecacera pennigera,Thecacera,Polyceridae,Nudibranchia,Gastropoda,Mollusca,,family,family,
91,Acanthophora spicifera,Acanthophora,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,,family,family,
505,Nepeta cataria,Nepeta,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,,family,family,
424,Campsis radicans,Campsis,Bignoniaceae,Lamiales,Magnoliopsida,Streptophyta,,family,family,
433,Carpobrotus chilensis,Carpobrotus,Aizoaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
322,Urosalpinx cinerea,Urosalpinx,Muricidae,Neogastropoda,Gastropoda,Mollusca,,family,family,
228,Grandidierella japonica,Grandidierella,Corophiidae,Amphipoda,Malacostraca,Arthropoda,,family,family,
32,Egeria densa,Egeria,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,,family,family,
438,Clintonia borealis,Clintonia,Liliaceae,Liliales,Magnoliopsida,Streptophyta,,family,family,
434,Chelidonium majus,Chelidonium,Papaveraceae,Ranunculales,Magnoliopsida,Streptophyta,,family,family,
172,Tanysphyrus lemnae,Tanysphyrus,Brachyceridae,Coleoptera,Insecta,Arthropoda,,family,family,
204,Gonionemus vertens,Gonionemus,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,,family,family,
443,Delairea odorata,Delairea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,,family,family,
539,Rorippa sylvestris,Rorippa,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,,family,family,
439,Commelina communis,Commelina,Commelinaceae,Commelinales,Magnoliopsida,Streptophyta,,family,family,
198,Bunodeopsis,Bunodeopsis,Boloceroididae,Actiniaria,Anthozoa,Cnidaria,,family,family,
680,Proterorhinus semilunaris,Proterorhinus,Gobiidae,Gobiiformes,Actinopteri,Chordata,,family,family,
483,Lycopus europaeus,Lycopus,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,,family,family,
482,Lycopus asper,Lycopus,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,,family,family,
551,Salsola,Salsola,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
676,Piaractus brachypomus,Piaractus,Serrasalmidae,Characiformes,Actinopteri,Chordata,,family,family,
682,Salmo trutta x Salvelinus fontinalis,,Salmonidae,Salmoniformes,Actinopteri,Chordata,,family,family,
476,Leucojum aestivum,Leucojum,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,,family,family,
320,Tenellia adspersa,Tenellia,Trinchesiidae,Nudibranchia,Gastropoda,Mollusca,,family,family,
188,Lophopodella carteri,Lophopodella,Lophopodidae,,Phylactolaemata,Bryozoa,,family,family,
553,Sapium,Sapium,Euphorbiaceae,Malpighiales,Magnoliopsida,Streptophyta,,family,family,
45,Diplosoma listerianum,Diplosoma,Didemnidae,Aplousobranchia,Ascidiacea,Chordata,,family,family,
544,Sagina procumbens,Sagina,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
495,Microstegium vimineum,Microstegium,Poaceae,Poales,Magnoliopsida,Streptophyta,,family,family,
318,Theora lubrica,Theora,Semelidae,Cardiida,Bivalvia,Mollusca,,family,family,
175,Tricellaria inopinata,Tricellaria,Candidae,Cheilostomatida,Gymnolaemata,Bryozoa,,family,family,
464,Hygrophila polysperma,Hygrophila,Acanthaceae,Lamiales,Magnoliopsida,Streptophyta,,family,family,
462,Hydrocharis morsus-ranae,Hydrocharis,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,,family,family,
459,Helenium flexuosum,Helenium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,,family,family,
458,Hedera helix,Hedera,Araliaceae,Apiales,Magnoliopsida,Streptophyta,,family,family,
498,Muhlenbergia racemosa,Muhlenbergia,Poaceae,Poales,Magnoliopsida,Streptophyta,,family,family,
499,Myosotis arvensis,Myosotis,Boraginaceae,Boraginales,Magnoliopsida,Streptophyta,,family,family,
455,Gnaphalium uliginosum,Gnaphalium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,,family,family,
454,Glyceria maxima,Glyceria,Poaceae,Poales,Magnoliopsida,Streptophyta,,family,family,
453,Gleditsia triacanthos,Gleditsia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,,family,family,
452,Frangula alnus,Frangula,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,,family,family,
86,Belonesox belizanus,Belonesox,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,,family,family,
500,Myosotis scorpioides,Myosotis,Boraginaceae,Boraginales,Magnoliopsida,Streptophyta,,family,family,
501,Myosoton aquaticum,Myosoton,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
92,Microspongium globosum,Microspongium,Chordariaceae,Ectocarpales,Phaeophyceae,,,family,family,
230,Monocorophium acherusicum,Monocorophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,,family,family,
509,Parthenocissus quinquefolia,Parthenocissus,Vitaceae,Vitales,Magnoliopsida,Streptophyta,,family,family,
102,Neosiphonia,Neosiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,,family,family,
28,Melanoides tuberculata,Melanoides,Thiaridae,,Gastropoda,Mollusca,,family,family,
524,Polygonum ramosissimum,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
375,Tarebia granifera,Tarebia,Thiaridae,,Gastropoda,Mollusca,,family,family,
255,Cyclops strenuus,Cyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,,family,family,
153,Salmacina,Salmacina,Serpulidae,Sabellida,Polychaeta,Annelida,,family,family,
257,Eurytemora affinis,Eurytemora,Temoridae,Calanoida,Hexanauplia,Arthropoda,,family,family,
596,Caiman crocodilus,Caiman,Alligatoridae,Crocodylia,,Chordata,,family,family,
258,Heteropsyllus,Heteropsyllus,Canthocamptidae,Harpacticoida,Hexanauplia,Arthropoda,,family,family,
259,Megacyclops viridis,Megacyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,,family,family,
34,Hydrilla verticillata,Hydrilla,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,,family,family,
367,Elimia virginica,Elimia,Pleuroceridae,,Gastropoda,Mollusca,,family,family,
262,Nitokra hibernica,Nitokra,Ameiridae,Harpacticoida,Hexanauplia,Arthropoda,,family,family,
365,Cipangopaludina japonica,Cipangopaludina,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,,family,family,
364,Cipangopaludina chinensis,Cipangopaludina,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,,family,family,
263,Nitokra,Nitokra,Ameiridae,Harpacticoida,Hexanauplia,Arthropoda,,family,family,
267,Schizopera,Schizopera,Miraciidae,Harpacticoida,Hexanauplia,Arthropoda,,family,family,
637,Archoplites interruptus,Archoplites,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,,family,family,
360,Ocinebrellus inornatus,Ocinebrellus,Muricidae,Neogastropoda,Gastropoda,Mollusca,,family,family,
359,Busycotypus canaliculatus,Busycotypus,Melongenidae,Neogastropoda,Gastropoda,Mollusca,,family,family,
344,Lasmigona subviridis,Lasmigona,Unionidae,Unionida,Bivalvia,Mollusca,,family,family,
314,Ceratostoma,Ceratostoma,Muricidae,Neogastropoda,Gastropoda,Mollusca,,family,family,
282,Dynamenopsis,Dynamenopsis,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,,family,family,
352,Tridacna,Tridacna,Cardiidae,Cardiida,Bivalvia,Mollusca,,family,family,
283,Dynoides,Dynoides,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,,family,family,
1,Heterosiphonia,Heterosiphonia,Dasyaceae,Ceramiales,Florideophyceae,Rhodophyta,,family,family,
622,Tilapia,Tilapia,Cichlidae,Cichliformes,Actinopteri,Chordata,,family,family,
522,Polygonum aviculare,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
644,Enneacanthus gloriosus,Enneacanthus,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,,family,family,
523,Polygonum cuspidatum,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
248,Megabalanus coccopoma,Megabalanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,,family,family,
418,Bidens tripartita,Bidens,Asteraceae,Asterales,Magnoliopsida,Streptophyta,,family,family,
487,Macfadyena,Macfadyena,Bignoniaceae,Lamiales,Magnoliopsida,Streptophyta,,family,family,
231,Monocorophium insidiosum,Monocorophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,,family,family,
170,Streblospio benedicti,Streblospio,Spionidae,Spionida,Polychaeta,Annelida,,family,family,
658,Lucania parva,Lucania,Fundulidae,Cyprinodontiformes,Actinopteri,Chordata,,family,family,
167,Pomatoleios kraussii,Pomatoleios,Serpulidae,Sabellida,Polychaeta,Annelida,,family,family,
410,Armoracia rusticana,Armoracia,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,,family,family,
538,Rhynchospora nitens,Rhynchospora,Cyperaceae,Poales,Magnoliopsida,Streptophyta,,family,family,
311,Janua pagenstecheri,Janua,Serpulidae,Sabellida,Polychaeta,Annelida,,family,family,
521,Polygonum,Polygonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,,family,family,
236,Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,,family,family,
656,Limia vittata,Limia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,,family,family,
164,Neanthes,Neanthes,Nereididae,Phyllodocida,Polychaeta,Annelida,,family,family,
580,Bothriocephalus,Bothriocephalus,Bothriocephalidae,Bothriocephalidea,Cestoda,Platyhelminthes,,family,family,
330,Nuttallia obscurata,Nuttallia,Psammobiidae,Cardiida,Bivalvia,Mollusca,,family,family,
648,Hemichromis letourneuxi,Hemichromis,Cichlidae,Cichliformes,Actinopteri,Chordata,,family,family,
296,Ophiactis savignyi,Ophiactis,Ophiactidae,Amphilepidida,Ophiuroidea,Echinodermata,,family,family,
5,Ficopomatus enigmaticus,Ficopomatus,Serpulidae,Sabellida,Polychaeta,Annelida,,family,family,
16,Cercopagis pengoi,Cercopagis,Cercopagididae,Diplostraca,Branchiopoda,Arthropoda,,family,family,
332,Zalophus californianus,Zalophus,Otariidae,Carnivora,Mammalia,Chordata,,family,family,
397,Alliaria petiolata,Alliaria,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,,family,family,
